#NSGA2
popsize 100
maxGen 200
numVar 22
numObj 3
numCons 4
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	100
totalTime	20.4785
firstFrontCount	5
frontCount	69
avgEvalTime	0.203051
#end
NumDecks	SLayout	Length	Width	Height	Wheelbase	Structure	NumChargers	Gangway	Pitch	SWidth	MType	DWidth	Topology	UPower	Capacity	ChaPow	PSpace	FA1	FA2	RA1	RA2	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	
1	2	15.2896	2.64828	2.47278	6.79771	3	96	0.479538	0.735229	0.433176	4	0.664687	3	142	302	492	0.224079	32.8428	3.41257	15.8767	1.24832	120242	-33.9309	900	0	0	0	0	
1	3	9.71836	2.59869	3.74793	6.74548	2	36	0.499386	0.699815	0.416656	2	1.25208	4	104	320	478	0.214306	5.28121	19.8967	6.99909	5.75357	9e+09	9e+09	9e+09	0	0	0	0	
1	1	14.7688	2.6191	4.02541	5.49566	1	84	0.49381	0.760837	0.429886	1	0.852856	4	51	467	223	0.182449	26.5712	1.17304	25.4417	8.47006	186432	-20.65	900	0	0	0	0	
1	3	12.3555	2.37554	2.48613	4.63058	1	166	0.542172	0.667728	0.403408	3	1.26872	4	112	314	56	0.213688	28.557	18.0253	17.1891	14.8005	9e+09	9e+09	9e+09	0	0	0	0	
1	3	13.194	2.41663	4.04371	5.12279	2	154	0.465571	0.707554	0.433262	1	1.00876	4	83	403	228	0.215151	30.0094	7.70256	23.8338	5.24105	111108	-22.0439	900	0	0	0	0	
1	3	13.7232	2.21645	4.03084	6.57213	1	72	0.525704	0.704861	0.406928	2	1.21424	5	143	319	179	0.243855	23.1711	3.73685	27.6399	17.9086	9e+09	9e+09	9e+09	0	0	0	0	
1	4	12.8518	2.45621	3.27817	5.44153	2	52	0.478083	0.656839	0.428844	3	0.91198	5	63	328	321	0.221831	27.2776	18.5866	19.522	4.47508	129663	-30.4128	900	0	0	0	0	
2	1	17.2793	2.56412	3.252	4.79481	1	66	0.464274	0.701896	0.429066	1	1.11797	3	167	191	135	0.196375	12.6618	3.01434	23.021	1.78576	9e+09	9e+09	9e+09	0	0	0	0	
1	3	17.4798	2.25289	4.30713	4.90272	2	117	0.492704	0.675264	0.407272	1	1.17357	3	120	149	306	0.22267	13.0597	20.8997	10.9108	3.54793	9e+09	9e+09	9e+09	0	0	0	0	
2	3	17.7846	2.57588	2.83797	6.6569	3	166	0.455162	0.6905	0.406966	4	0.853924	3	75	205	451	0.191296	34.126	15.6746	32.0286	6.02204	9e+09	9e+09	9e+09	0	0	0	0	
1	2	13.2627	2.58833	2.84076	5.44739	2	119	0.455148	0.727265	0.427836	3	0.965041	4	109	76	167	0.184305	29.4949	2.79532	31.5139	19.9976	122297	-30.8088	900	0	0	0	0	
1	3	8.21642	2.67016	3.11043	5.49594	2	172	0.537655	0.764767	0.431179	3	1.3653	3	55	330	421	0.227158	34.1233	6.55429	15.5116	7.94563	314126	-33.4942	900	0	0	0	0	
1	2	8.32191	2.68811	3.77611	6.3144	1	181	0.482954	0.780634	0.443369	1	1.42757	2	133	329	77	0.221923	26.7333	12.3954	31.7924	17.5066	343455	-26.8433	900	0	0	0	0	
2	3	11.3017	2.427	3.14936	5.69558	1	84	0.452062	0.801198	0.429118	2	1.0041	4	103	364	269	0.197831	33.3437	10.5526	17.0726	4.74362	9e+09	9e+09	9e+09	0	0	0	0	
1	3	9.40688	2.36774	3.64211	4.97974	2	46	0.51808	0.656449	0.404412	3	0.754737	3	94	448	243	0.202469	14.1897	15.2889	11.2788	12.2746	9e+09	9e+09	9e+09	0	0	0	0	
2	1	17.7784	2.53257	3.21482	5.81535	2	107	0.453087	0.769044	0.407502	2	1.18186	4	78	364	130	0.217722	12.437	16.7626	11.3004	6.82618	9e+09	9e+09	9e+09	0	0	0	0	
1	2	10.456	2.27357	3.73728	5.19503	1	98	0.54519	0.710697	0.41584	3	1.48548	4	140	428	245	0.181874	20.0756	2.32273	9.7321	6.02664	1.34451	-13.0007	0.309392	0	0	0	0	
2	1	16.37	2.28379	2.46794	4.71781	2	153	0.527156	0.651711	0.436934	4	1.44673	3	66	215	121	0.189263	9.18438	17.2448	31.6082	13.3845	9e+09	9e+09	9e+09	0	0	0	0	
2	2	13.4761	2.31116	2.88188	4.60885	3	78	0.514479	0.67378	0.429824	2	0.830626	2	133	321	170	0.224219	16.5978	3.22743	17.5135	18.604	9e+09	9e+09	9e+09	0	0	0	0	
1	1	14.3022	2.41576	2.80006	6.76204	1	5	0.52796	0.695598	0.445815	3	1.47116	4	137	271	257	0.180023	12.1807	13.6185	24.9722	19.6689	9e+09	9e+09	9e+09	0	0	0	0	
2	3	15.9169	2.22142	2.80512	5.25676	3	184	0.4663	0.692025	0.409346	4	0.913156	4	96	488	491	0.221507	16.5705	19.1664	22.5442	20.5093	9e+09	9e+09	9e+09	0	0	0	0	
1	2	9.75349	2.40484	3.86132	4.65411	3	41	0.479088	0.655299	0.400274	2	1.21388	4	77	186	130	0.201167	10.9824	12.3715	20.6175	11.3963	9e+09	9e+09	9e+09	0	0	0	0	
1	3	10.0073	2.54134	3.11672	5.85548	3	109	0.506483	0.719988	0.445444	3	0.803224	4	67	422	93	0.185191	26.5082	9.50802	8.51413	4.46054	150426	-31.7743	900	0	0	0	0	
1	2	16.6334	2.37593	2.81065	5.77185	2	122	0.464641	0.700316	0.430156	2	1.08431	3	143	154	274	0.239906	27.1022	11.3709	28.6423	13.51	130712	-33.8117	900	0	0	0	0	
1	3	10.7356	2.4182	3.36643	4.7391	2	188	0.490807	0.800751	0.443857	3	0.890783	3	94	495	416	0.200511	31.4911	15.8658	23.7106	3.00059	151852	-18.8909	900	0	0	0	0	
1	3	11.9399	2.24142	2.82213	5.16375	1	149	0.4895	0.673213	0.407732	1	1.38479	4	78	469	122	0.177779	25.4963	13.8903	24.0175	7.09235	111883	-20.7632	900	0	0	0	0	
1	2	14.4032	2.3264	4.41902	4.87932	2	114	0.505489	0.770711	0.438221	4	1.47352	3	143	139	173	0.205401	17.4143	20.6614	20.7936	15.3941	9e+09	9e+09	9e+09	0	0	0	0	
2	1	10.7223	2.61182	2.63019	5.02462	2	32	0.521764	0.68977	0.448053	3	1.32251	4	123	270	243	0.220155	13.9091	18.2722	9.95749	12.1864	9e+09	9e+09	9e+09	0	0	0	0	
2	2	15.9304	2.4987	3.58438	6.10406	3	138	0.463004	0.68343	0.4105	3	1.49414	5	56	482	294	0.200226	16.7377	14.8882	9.76672	4.57889	9e+09	9e+09	9e+09	0	0	0	0	
1	3	12.8223	2.35758	4.28152	5.72113	1	103	0.458914	0.742447	0.428041	3	1.37981	5	88	382	355	0.229373	24.7504	12.5921	19.6589	18.3926	9e+09	9e+09	9e+09	0	0	0	0	
1	2	16.0986	2.21666	4.31118	6.00658	2	155	0.451678	0.762146	0.417962	4	1.48314	2	151	499	129	0.228504	16.8822	1.19925	7.36161	5.29883	174617	-19.4432	900	0	0	0	0	
1	2	17.2604	2.30577	2.35327	6.85111	1	144	0.483368	0.720888	0.413957	3	1.48063	4	99	333	182	0.181899	33.799	16.6978	18.7473	18.3491	109530	-30.2554	900	0	0	0	0	
